2017-05-03 11:01:14.6552 | INFO | HarnessControl.atopLog | PollControl Loop:124 

2017-05-03 11:01:14.6552 | INFO | HarnessControl.atopLog | PollControl Loop:125 

2017-05-03 11:01:14.6552 | INFO | HarnessControl.atopLog | PollControl Loop:126 

2017-05-03 11:01:14.6552 | INFO | HarnessControl.atopLog | PollControl Loop:127 

2017-05-03 11:01:14.6712 | INFO | HarnessControl.atopLog | PollControl Loop:128 

2017-05-03 11:01:14.6712 | INFO | HarnessControl.atopLog | PollControl Loop:129 

2017-05-03 11:01:14.6712 | INFO | HarnessControl.atopLog | PollControl Loop:130 

2017-05-03 11:01:14.6712 | INFO | HarnessControl.atopLog | PollControl Loop:131 

2017-05-03 11:01:14.6712 | INFO | HarnessControl.atopLog | PollControl Loop:132 

2017-05-03 11:01:14.6872 | INFO | HarnessControl.atopLog | PollControl Loop:133 

2017-05-03 11:01:14.6872 | INFO | HarnessControl.atopLog | PollControl Loop:134 

2017-05-03 11:01:14.6872 | INFO | HarnessControl.atopLog | PollControl Loop:135 

2017-05-03 11:01:14.6872 | INFO | HarnessControl.atopLog | PollControl Loop:136 

2017-05-03 11:01:14.6872 | INFO | HarnessControl.atopLog | PollControl Loop:137 

2017-05-03 11:01:14.7042 | INFO | HarnessControl.atopLog | PollControl Loop:138 

2017-05-03 11:01:14.7042 | INFO | HarnessControl.atopLog | PollControl Loop:139 

2017-05-03 11:01:14.7042 | INFO | HarnessControl.atopLog | PollControl Loop:140 

2017-05-03 11:01:14.7042 | INFO | HarnessControl.atopLog | PollControl Loop:141 

2017-05-03 11:01:14.7182 | INFO | HarnessControl.atopLog | PollControl Loop:142 

2017-05-03 11:01:14.7182 | INFO | HarnessControl.atopLog | PollControl Loop:143 

2017-05-03 11:01:14.7182 | INFO | HarnessControl.atopLog | PollControl Loop:144 

2017-05-03 11:01:14.7182 | INFO | HarnessControl.atopLog | PollControl Loop:145 

2017-05-03 11:01:14.7342 | INFO | HarnessControl.atopLog | PollControl Loop:146 

2017-05-03 11:01:14.7342 | INFO | HarnessControl.atopLog | PollControl Loop:147 

2017-05-03 11:01:14.7342 | INFO | HarnessControl.atopLog | PollControl Loop:148 

2017-05-03 11:01:14.7342 | INFO | HarnessControl.atopLog | PollControl Loop:149 

2017-05-03 11:01:14.7482 | INFO | HarnessControl.atopLog | PollControl Loop:150 

2017-05-03 11:01:14.7482 | INFO | HarnessControl.atopLog | PollControl Loop:151 

2017-05-03 11:01:14.7482 | INFO | HarnessControl.atopLog | PollControl Loop:152 

2017-05-03 11:01:14.7482 | INFO | HarnessControl.atopLog | PollControl Loop:153 

2017-05-03 11:01:14.7482 | INFO | HarnessControl.atopLog | PollControl Loop:154 

2017-05-03 11:01:14.7662 | INFO | HarnessControl.atopLog | PollControl Loop:155 

2017-05-03 11:01:14.7662 | INFO | HarnessControl.atopLog | PollControl Loop:156 

2017-05-03 11:01:14.7662 | INFO | HarnessControl.atopLog | PollControl Loop:157 

2017-05-03 11:01:14.7662 | INFO | HarnessControl.atopLog | PollControl Loop:158 

2017-05-03 11:01:14.7662 | INFO | HarnessControl.atopLog | PollControl Loop:159 

2017-05-03 11:01:14.7812 | INFO | HarnessControl.atopLog | PollControl Loop:160 

2017-05-03 11:01:14.7812 | INFO | HarnessControl.atopLog | PollControl Loop:161 

2017-05-03 11:01:14.7812 | INFO | HarnessControl.atopLog | PollControl Loop:162 

2017-05-03 11:01:14.7812 | INFO | HarnessControl.atopLog | PollControl Loop:163 

2017-05-03 11:01:14.7952 | INFO | HarnessControl.atopLog | PollControl Loop:164 

2017-05-03 11:01:14.7952 | INFO | HarnessControl.atopLog | PollControl Loop:165 

2017-05-03 11:01:14.7952 | INFO | HarnessControl.atopLog | PollControl Loop:166 

2017-05-03 11:01:14.7952 | INFO | HarnessControl.atopLog | PollControl Loop:167 

2017-05-03 11:01:14.7952 | INFO | HarnessControl.atopLog | PollControl Loop:168 

2017-05-03 11:01:14.8132 | INFO | HarnessControl.atopLog | PollControl Loop:169 

2017-05-03 11:01:14.8132 | INFO | HarnessControl.atopLog | PollControl Loop:170 

2017-05-03 11:01:14.8132 | INFO | HarnessControl.atopLog | PollControl Loop:171 

2017-05-03 11:01:14.8272 | INFO | HarnessControl.atopLog | PollControl Loop:172 

2017-05-03 11:01:14.8272 | INFO | HarnessControl.atopLog | PollControl Loop:173 

2017-05-03 11:01:14.8272 | INFO | HarnessControl.atopLog | PollControl Loop:174 

2017-05-03 11:01:14.8272 | INFO | HarnessControl.atopLog | PollControl Loop:175 

2017-05-03 11:01:14.8272 | INFO | HarnessControl.atopLog | PollControl Loop:176 

2017-05-03 11:01:14.8442 | INFO | HarnessControl.atopLog | PollControl Loop:177 

2017-05-03 11:01:14.8442 | INFO | HarnessControl.atopLog | PollControl Loop:178 

2017-05-03 11:01:14.8442 | INFO | HarnessControl.atopLog | PollControl Loop:179 

2017-05-03 11:01:14.8442 | INFO | HarnessControl.atopLog | PollControl Loop:180 

2017-05-03 11:01:14.8442 | INFO | HarnessControl.atopLog | PollControl Loop:181 

2017-05-03 11:01:14.8602 | INFO | HarnessControl.atopLog | PollControl Loop:182 

2017-05-03 11:01:14.8602 | INFO | HarnessControl.atopLog | PollControl Loop:183 

2017-05-03 11:01:14.8602 | INFO | HarnessControl.atopLog | PollControl Loop:184 

2017-05-03 11:01:14.8602 | INFO | HarnessControl.atopLog | PollControl Loop:185 

2017-05-03 11:01:14.8732 | INFO | HarnessControl.atopLog | PollControl Loop:186 

2017-05-03 11:01:14.8732 | INFO | HarnessControl.atopLog | PollControl Loop:187 

2017-05-03 11:01:14.8732 | INFO | HarnessControl.atopLog | PollControl Loop:188 

2017-05-03 11:01:14.8732 | INFO | HarnessControl.atopLog | PollControl Loop:189 

2017-05-03 11:01:14.8732 | INFO | HarnessControl.atopLog | PollControl Loop:190 

2017-05-03 11:01:14.8892 | INFO | HarnessControl.atopLog | PollControl Loop:191 

2017-05-03 11:01:14.8892 | INFO | HarnessControl.atopLog | PollControl Loop:192 

2017-05-03 11:01:14.8892 | INFO | HarnessControl.atopLog | PollControl Loop:193 

2017-05-03 11:01:14.8892 | INFO | HarnessControl.atopLog | PollControl Loop:194 

2017-05-03 11:01:14.8892 | INFO | HarnessControl.atopLog | PollControl Loop:195 

2017-05-03 11:01:14.9052 | INFO | HarnessControl.atopLog | PollControl Loop:196 

2017-05-03 11:01:14.9052 | INFO | HarnessControl.atopLog | PollControl Loop:197 

2017-05-03 11:01:14.9052 | INFO | HarnessControl.atopLog | PollControl Loop:198 

2017-05-03 11:01:14.9052 | INFO | HarnessControl.atopLog | PollControl Loop:199 

2017-05-03 11:01:14.9212 | INFO | HarnessControl.atopLog | PollControl Loop:200 

2017-05-03 11:01:14.9212 | INFO | HarnessControl.atopLog | PollControl Loop:201 

2017-05-03 11:01:14.9212 | INFO | HarnessControl.atopLog | PollControl Loop:202 

2017-05-03 11:01:14.9372 | INFO | HarnessControl.atopLog | PollControl Loop:203 

2017-05-03 11:01:14.9372 | INFO | HarnessControl.atopLog | PollControl Loop:204 

2017-05-03 11:01:14.9372 | INFO | HarnessControl.atopLog | PollControl Loop:205 

2017-05-03 11:01:14.9372 | INFO | HarnessControl.atopLog | PollControl Loop:206 

2017-05-03 11:01:14.9552 | INFO | HarnessControl.atopLog | PollControl Loop:207 

2017-05-03 11:01:14.9552 | INFO | HarnessControl.atopLog | PollControl Loop:208 

2017-05-03 11:01:14.9552 | INFO | HarnessControl.atopLog | PollControl Loop:209 

2017-05-03 11:01:14.9702 | INFO | HarnessControl.atopLog | PollControl Loop:210 

2017-05-03 11:01:14.9702 | INFO | HarnessControl.atopLog | PollControl Loop:211 

2017-05-03 11:01:14.9702 | INFO | HarnessControl.atopLog | PollControl Loop:212 

2017-05-03 11:01:14.9852 | INFO | HarnessControl.atopLog | PollControl Loop:213 

2017-05-03 11:01:14.9852 | INFO | HarnessControl.atopLog | PollControl Loop:214 

2017-05-03 11:01:14.9852 | INFO | HarnessControl.atopLog | PollControl Loop:215 

2017-05-03 11:01:14.9982 | INFO | HarnessControl.atopLog | PollControl Loop:216 

2017-05-03 11:01:14.9982 | INFO | HarnessControl.atopLog | PollControl Loop:217 

2017-05-03 11:01:14.9982 | INFO | HarnessControl.atopLog | PollControl Loop:218 

2017-05-03 11:01:14.9982 | INFO | HarnessControl.atopLog | PollControl Loop:219 

2017-05-03 11:01:15.0142 | INFO | HarnessControl.atopLog | PollControl Loop:220 

2017-05-03 11:01:15.0142 | INFO | HarnessControl.atopLog | PollControl Loop:221 

2017-05-03 11:01:15.0142 | INFO | HarnessControl.atopLog | PollControl Loop:222 

2017-05-03 11:01:15.0312 | INFO | HarnessControl.atopLog | PollControl Loop:223 

2017-05-03 11:01:15.0312 | INFO | HarnessControl.atopLog | PollControl Loop:224 

2017-05-03 11:01:15.0312 | INFO | HarnessControl.atopLog | PollControl Loop:225 

2017-05-03 11:01:15.0312 | INFO | HarnessControl.atopLog | PollControl Loop:226 

2017-05-03 11:01:15.0472 | INFO | HarnessControl.atopLog | PollControl Loop:227 

2017-05-03 11:01:15.0472 | INFO | HarnessControl.atopLog | PollControl Loop:228 

2017-05-03 11:01:15.0472 | INFO | HarnessControl.atopLog | PollControl Loop:229 

2017-05-03 11:01:15.0472 | INFO | HarnessControl.atopLog | PollControl Loop:230 

2017-05-03 11:01:15.0622 | INFO | HarnessControl.atopLog | PollControl Loop:231 

2017-05-03 11:01:15.0622 | INFO | HarnessControl.atopLog | PollControl Loop:232 

2017-05-03 11:01:15.0622 | INFO | HarnessControl.atopLog | PollControl Loop:233 

2017-05-03 11:01:15.0622 | INFO | HarnessControl.atopLog | PollControl Loop:234 

2017-05-03 11:01:15.0762 | INFO | HarnessControl.atopLog | PollControl Loop:235 

2017-05-03 11:01:15.0762 | INFO | HarnessControl.atopLog | PollControl Loop:236 

2017-05-03 11:01:15.0762 | INFO | HarnessControl.atopLog | PollControl Loop:237 

2017-05-03 11:01:15.0762 | INFO | HarnessControl.atopLog | PollControl Loop:238 

2017-05-03 11:01:15.0762 | INFO | HarnessControl.atopLog | PollControl Loop:239 

2017-05-03 11:01:15.0922 | INFO | HarnessControl.atopLog | PollControl Loop:240 

2017-05-03 11:01:15.0922 | INFO | HarnessControl.atopLog | PollControl Loop:241 

2017-05-03 11:01:15.0922 | INFO | HarnessControl.atopLog | PollControl Loop:242 

2017-05-03 11:01:15.0922 | INFO | HarnessControl.atopLog | PollControl Loop:243 

2017-05-03 11:01:15.0922 | INFO | HarnessControl.atopLog | PollControl Loop:244 

2017-05-03 11:01:15.1112 | INFO | HarnessControl.atopLog | PollControl Loop:245 

2017-05-03 11:01:15.1112 | INFO | HarnessControl.atopLog | PollControl Loop:246 

2017-05-03 11:01:15.1232 | INFO | HarnessControl.atopLog | PollControl Loop:247 

2017-05-03 11:01:15.1712 | INFO | HarnessControl.atopLog | PollControl Loop:248 

2017-05-03 11:01:15.1712 | INFO | HarnessControl.atopLog | PollControl Loop:249 

2017-05-03 11:01:15.1712 | INFO | HarnessControl.atopLog | PollControl Loop:250 

2017-05-03 11:01:15.1862 | INFO | HarnessControl.atopLog | PollControl Loop:251 

2017-05-03 11:01:15.1862 | INFO | HarnessControl.atopLog | PollControl Loop:252 

2017-05-03 11:01:15.1862 | INFO | HarnessControl.atopLog | PollControl Loop:253 

2017-05-03 11:01:15.1862 | INFO | HarnessControl.atopLog | PollControl Loop:254 

2017-05-03 11:01:15.2022 | INFO | HarnessControl.atopLog | PollControl Loop:255 

2017-05-03 11:01:15.2022 | INFO | HarnessControl.atopLog | PollControl Loop:256 

2017-05-03 11:01:15.2022 | INFO | HarnessControl.atopLog | PollControl Loop:257 

2017-05-03 11:01:15.2172 | INFO | HarnessControl.atopLog | PollControl Loop:258 

2017-05-03 11:01:15.2172 | INFO | HarnessControl.atopLog | PollControl Loop:259 

2017-05-03 11:01:15.2172 | INFO | HarnessControl.atopLog | PollControl Loop:260 

2017-05-03 11:01:15.2342 | INFO | HarnessControl.atopLog | PollControl Loop:261 

2017-05-03 11:01:15.2342 | INFO | HarnessControl.atopLog | PollControl Loop:262 

2017-05-03 11:01:15.2482 | INFO | HarnessControl.atopLog | PollControl Loop:263 

2017-05-03 11:01:15.2482 | INFO | HarnessControl.atopLog | PollControl Loop:264 

2017-05-03 11:01:15.2482 | INFO | HarnessControl.atopLog | PollControl Loop:265 

2017-05-03 11:01:15.2682 | INFO | HarnessControl.atopLog | PollControl Loop:266 

2017-05-03 11:01:15.2682 | INFO | HarnessControl.atopLog | PollControl Loop:267 

2017-05-03 11:01:15.2682 | INFO | HarnessControl.atopLog | PollControl Loop:268 

2017-05-03 11:01:15.2802 | INFO | HarnessControl.atopLog | PollControl Loop:269 

2017-05-03 11:01:15.2802 | INFO | HarnessControl.atopLog | PollControl Loop:270 

2017-05-03 11:01:15.2802 | INFO | HarnessControl.atopLog | PollControl Loop:271 

2017-05-03 11:01:15.2952 | INFO | HarnessControl.atopLog | PollControl Loop:272 

2017-05-03 11:01:15.2952 | INFO | HarnessControl.atopLog | PollControl Loop:273 

2017-05-03 11:01:15.2952 | INFO | HarnessControl.atopLog | PollControl Loop:274 

2017-05-03 11:01:15.2952 | INFO | HarnessControl.atopLog | PollControl Loop:275 

2017-05-03 11:01:15.3102 | INFO | HarnessControl.atopLog | PollControl Loop:276 

2017-05-03 11:01:15.3102 | INFO | HarnessControl.atopLog | PollControl Loop:277 

2017-05-03 11:01:15.3102 | INFO | HarnessControl.atopLog | PollControl Loop:278 

2017-05-03 11:01:15.3102 | INFO | HarnessControl.atopLog | PollControl Loop:279 

2017-05-03 11:01:15.3282 | INFO | HarnessControl.atopLog | PollControl Loop:280 

2017-05-03 11:01:15.3282 | INFO | HarnessControl.atopLog | PollControl Loop:281 

2017-05-03 11:01:15.3282 | INFO | HarnessControl.atopLog | PollControl Loop:282 

2017-05-03 11:01:15.3412 | INFO | HarnessControl.atopLog | PollControl Loop:283 

2017-05-03 11:01:15.3412 | INFO | HarnessControl.atopLog | PollControl Loop:284 

2017-05-03 11:01:15.3412 | INFO | HarnessControl.atopLog | PollControl Loop:285 

2017-05-03 11:01:15.3412 | INFO | HarnessControl.atopLog | PollControl Loop:286 

2017-05-03 11:01:15.3412 | INFO | HarnessControl.atopLog | PollControl Loop:287 

2017-05-03 11:01:15.3592 | INFO | HarnessControl.atopLog | PollControl Loop:288 

2017-05-03 11:01:15.3592 | INFO | HarnessControl.atopLog | PollControl Loop:289 

2017-05-03 11:01:15.3592 | INFO | HarnessControl.atopLog | PollControl Loop:290 

2017-05-03 11:01:15.3592 | INFO | HarnessControl.atopLog | PollControl Loop:291 

2017-05-03 11:01:15.3732 | INFO | HarnessControl.atopLog | PollControl Loop:292 

2017-05-03 11:01:15.3732 | INFO | HarnessControl.atopLog | PollControl Loop:293 

2017-05-03 11:01:15.3732 | INFO | HarnessControl.atopLog | PollControl Loop:294 

